name,host_id,host_identity_verified,host_name,neighbourhood_group,neighbourhood,lat,long,country,country_code,instant_bookable,cancellation_policy,room_type,construction_year,price,service_fee,minimum_nights,number_of_reviews,last_review
Clean & quiet apt home by the park,80014485718,unconfirmed,Madaline,Brooklyn,Kensington,40.64749,-73.97237,United States,US,0,strict,Private room,2020,966.0,193.0,10.0,9.0,2021-10-19
Skylit Midtown Castle,52335172823,verified,Jenna,Manhattan,Midtown,40.75362,-73.98377,United States,US,0,moderate,Entire home/apt,2007,142.0,28.0,30.0,45.0,2022-05-21
Entire Apt: Spacious Studio/Loft by central park,92037596077,verified,Lyndon,Manhattan,East Harlem,40.79851,-73.94399,United States,US,0,moderate,Entire home/apt,2009,204.0,41.0,10.0,9.0,2018-11-19
Large Cozy 1 BR Apartment In Midtown East,45498551794,verified,Michelle,Manhattan,Murray Hill,40.74767,-73.975,United States,US,1,flexible,Entire home/apt,2013,577.0,115.0,3.0,74.0,2019-06-22
BlissArtsSpace!,90821839709,unconfirmed,Emma,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,United States,US,0,moderate,Private room,2009,1060.0,212.0,30.0,49.0,2017-10-05
Large Furnished Room Near B'way,79384379533,verified,Evelyn,Manhattan,Hell's Kitchen,40.76489,-73.98493,United States,US,1,strict,Private room,2005,1018.0,204.0,2.0,430.0,2019-06-24
Cozy Clean Guest Room - Family Apt,75527839483,unconfirmed,Carl,Manhattan,Upper West Side,40.80178,-73.96723,United States,US,0,strict,Private room,2015,291.0,58.0,2.0,118.0,2017-07-21
Cute & Cozy Lower East Side 1 bdrm,1280143094,verified,Miranda,Manhattan,Chinatown,40.71344,-73.99037,United States,US,0,flexible,Entire home/apt,2004,319.0,64.0,1.0,160.0,2019-06-09
Beautiful 1br on Upper West Side,18824631834,verified,Alan,Manhattan,Upper West Side,40.80316,-73.96545,United States,US,1,flexible,Entire home/apt,2008,606.0,121.0,5.0,53.0,2019-06-22
"Lovely Room 1, Garden, Best Area, Legal rental",26802410424,verified,Darcy,Brooklyn,South Slope,40.66829,-73.98779,United States,US,1,moderate,Private room,2010,580.0,116.0,4.0,167.0,2019-06-24
Wonderful Guest Bedroom in Manhattan for SINGLES,88920244552,verified,Leonardo,Manhattan,Upper West Side,40.79826,-73.96113,United States,US,0,flexible,Private room,2019,149.0,30.0,2.0,113.0,2019-07-05
Large B&B Style rooms,57938703679,unconfirmed,Jared,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,United States,US,1,strict,Private room,2016,191.0,38.0,1.0,74.0,2019-05-12
"Lovely room 2 & garden; Best area, Legal rental",53343148512,verified,Brad,Brooklyn,South Slope,40.66869,-73.9878,United States,US,1,moderate,Private room,2003,1111.0,222.0,4.0,168.0,2019-06-21
Clean and Quiet in Brooklyn,26207748876,verified,Arthur,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,United States,US,0,moderate,Private room,2004,203.0,41.0,30.0,0.0,
Cute apt in artist's home,88653822946,verified,Joyce,Brooklyn,Bushwick,40.70186,-73.92745,United States,US,1,moderate,Entire home/apt,2005,1097.0,219.0,2.0,231.0,2019-06-22
Country space in the city,49725315867,verified,Deanna,Brooklyn,Flatbush,40.63702,-73.96327,United States,US,1,strict,Private room,2011,1020.0,204.0,1.0,0.0,
ENJOY Downtown NYC!,63131487263,unconfirmed,Byron,Manhattan,East Village,40.7229,-73.98199,United States,US,0,strict,Private room,2005,563.0,113.0,2.0,245.0,2019-06-21
Beautiful Sunny Park Slope Brooklyn,50357575975,verified,Alina,Brooklyn,South Slope,40.66278,-73.97966,United States,US,1,flexible,Entire home/apt,2020,370.0,74.0,3.0,15.0,2019-05-27
West Side Retreat,55430108992,unconfirmed,Alford,Manhattan,Upper West Side,40.79009,-73.97927,United States,US,0,strict,Private room,2017,856.0,171.0,4.0,81.0,2019-06-16
BEST BET IN HARLEM,2107606817,unconfirmed,Chester,Manhattan,Harlem,40.81175,-73.94478,United States,US,1,flexible,Entire home/apt,2006,62.0,12.0,7.0,97.0,2019-06-13
Williamsburg 1 bedroom Apartment,84933495312,unconfirmed,Paul,Brooklyn,Williamsburg,40.70881,-73.9593,United States,US,0,moderate,Entire home/apt,2012,439.0,88.0,30.0,105.0,2019-06-22
Double Room w Private Deck Clinton Hill Best Area,71078326464,unconfirmed,William,Brooklyn,Clinton Hill,40.69,-73.96788,United States,US,0,flexible,Private room,2010,825.0,165.0,7.0,27.0,2017-09-30
Your Heaven in Hells Kitchen,20543275700,verified,Melissa,Manhattan,Hell's Kitchen,40.75979,-73.99119,United States,US,0,strict,Private room,2013,646.0,129.0,30.0,191.0,
Light-filled 2B duplex in the heart of Park Slope!,42969787263,verified,Ellia,Brooklyn,Park Slope,40.67343,-73.98338,United States,US,0,flexible,Entire home/apt,2006,1037.0,207.0,3.0,4.0,2017-09-24
"Sunny, Modern room in East Village!",79667908130,unconfirmed,Walter,Manhattan,East Village,40.72649,-73.97904,United States,US,0,strict,Private room,2015,87.0,17.0,1.0,338.0,2019-07-01
*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,19095545297,unconfirmed,Sawyer,Brooklyn,Williamsburg,40.70933,-73.96792,United States,US,1,moderate,Entire home/apt,2007,316.0,63.0,1.0,148.0,2019-06-23
Large Room in Amazing East Village Apt,58710475260,unconfirmed,Valeria,Manhattan,East Village,40.72298,-73.98474,United States,US,1,flexible,Private room,2017,735.0,147.0,1.0,106.0,2019-06-21
Lovely EV Artist's Home,90314634438,unconfirmed,Reid,Manhattan,East Village,40.72162,-73.98008,United States,US,0,moderate,Entire home/apt,2019,238.0,48.0,9.0,49.0,2018-05-14
Cool Room in Hell's Kitchen,44843744875,verified,Charlie,Manhattan,Hell's Kitchen,40.76342,-73.98865,United States,US,0,moderate,Private room,2017,603.0,121.0,7.0,23.0,2019-06-01
Beautiful Meatpacking District Loft,6644226026,unconfirmed,Eddy,Manhattan,Chelsea,40.74138,-74.00197,United States,US,1,strict,Private room,2011,1065.0,213.0,3.0,167.0,2019-05-28
Spacious luminous apt Upper West NYC,97798221815,verified,Alisa,Manhattan,Harlem,40.82915,-73.95136,United States,US,1,flexible,Entire home/apt,2005,1056.0,211.0,30.0,54.0,2019-03-23
Entire 2 Bedroom - Large & Sunny,54627928830,verified,Edgar,Manhattan,Lower East Side,40.71851,-73.98892,United States,US,0,moderate,Entire home/apt,2017,909.0,182.0,5.0,70.0,
"Sunny, Spacious Top Floor Haven",88585125323,verified,Justin,Brooklyn,Flatbush,40.65401,-73.96323,United States,US,1,moderate,Entire home/apt,2017,586.0,117.0,6.0,16.0,2019-06-15
Private room Great Deal at Lower East Side,15834881958,unconfirmed,Violet,Manhattan,Lower East Side,40.7114,-73.98794,United States,US,1,strict,Private room,2013,575.0,115.0,30.0,94.0,2019-04-08
perfect for a family or small group,34333762709,unconfirmed,Sienna,Brooklyn,Brooklyn Heights,40.69723,-73.99268,United States,US,0,strict,Entire home/apt,2013,292.0,58.0,1.0,25.0,2016-08-04
2 bedroom Williamsburg Apt - Bedford L stop,76203104999,verified,Lucy,Brooklyn,Williamsburg,40.71833,-73.95748,United States,US,1,strict,Entire home/apt,2007,194.0,39.0,3.0,61.0,2018-08-09
Oh glorious spring!,7693754055,unconfirmed,Ellia,Manhattan,East Village,40.72334,-73.9844,United States,US,0,flexible,Private room,2022,123.0,25.0,3.0,194.0,2019-06-30
"Large Parlor Room, Landmark Home 1 block to PRATT",89635238032,unconfirmed,Rubie,Brooklyn,Clinton Hill,40.68634,-73.966,United States,US,1,moderate,Private room,2012,51.0,10.0,7.0,16.0,2019-05-31
2-bed brownstone duplex + garden,40398018895,unconfirmed,Alfred,Brooklyn,Prospect Heights,40.68035,-73.97162,United States,US,0,moderate,Entire home/apt,2018,588.0,118.0,7.0,21.0,2019-05-21
"Modern Brooklyn Apt., August sublet",38981444696,unconfirmed,Ned,Brooklyn,Williamsburg,40.71459,-73.94844,United States,US,0,strict,Entire home/apt,2017,589.0,118.0,30.0,29.0,2018-05-26
"1,800 sq foot in luxury building",18044628997,unconfirmed,Emma,Manhattan,Harlem,40.8092,-73.94421,United States,US,1,flexible,Private room,2005,839.0,168.0,2.0,170.0,2019-06-23
Sunny 2-story Brooklyn townhouse w deck and garden,85201462079,verified,Alen,Brooklyn,Gowanus,40.68157,-73.98989,United States,US,0,strict,Entire home/apt,2011,528.0,106.0,30.0,19.0,2017-03-17
"Times Square, Safe, Clean and Cozy!",61210263217,unconfirmed,Kevin,Manhattan,Hell's Kitchen,40.75527,-73.99291,United States,US,1,strict,Private room,2014,66.0,13.0,2.0,334.0,2019-06-16
"Cozy Room #3, Landmark Home 1 Block to PRATT",85719117699,unconfirmed,Miller,Brooklyn,Clinton Hill,40.68698,-73.96572,United States,US,1,flexible,Private room,2014,761.0,152.0,2.0,19.0,2019-06-02
Beautiful Apartment East Village,95420528585,verified,Penelope,Manhattan,East Village,40.7288,-73.98192,United States,US,1,flexible,Entire home/apt,2007,523.0,105.0,7.0,12.0,
East Village Sanctuary,21125900343,unconfirmed,Jasmine,Manhattan,East Village,40.72245,-73.98527,United States,US,1,flexible,Entire home/apt,2013,1105.0,221.0,4.0,25.0,2021-12-10
Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,63113999922,verified,Robert,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,United States,US,1,moderate,Private room,2015,1109.0,222.0,2.0,9.0,2018-10-05
Modern Apt with Spectacular Views,96956465387,verified,Lucas,Brooklyn,Williamsburg,40.71923,-73.96468,United States,US,1,strict,Private room,2004,659.0,132.0,1.0,9.0,2021-09-18
Garden studio in the Upper East Sid,77172555024,unconfirmed,Miller,Manhattan,Upper East Side,40.778,-73.94822,United States,US,0,strict,Entire home/apt,2007,571.0,114.0,5.0,21.0,2024-08-15
Secluded Master Bedroom in Beautiful Huge Apt,44493053522,verified,Dexter,Manhattan,Washington Heights,40.85879,-73.93128,United States,US,1,flexible,Private room,2010,736.0,147.0,15.0,36.0,2017-08-17
